Field,ID,Type (Type),default,en-us,uk,ru,bg
Description,2,Text,,"Typed in the wrong keyboard layout? Switcher3way spots it and fixes it. Type ghbdsn and it becomes
привіт, the layout switches, and you carry on. English, Ukrainian and Russian — free, offline and open
source.

You know the moment: half a sentence in and you realise the layout was wrong. Switcher3way takes that
moment away.

It watches the word you are typing and, when the word is clearly in the wrong keyboard layout, retypes
it correctly and switches the layout for you. Not a guess on every word — only when the word makes
sense in another layout's language and nonsense in the current one. Short fragments and ambiguous
scraps are left alone, because a wrong fix is worse than a missed one.

Three languages, not two. Most layout fixers flip between two layouts. Switcher3way reads every layout
Windows has installed and checks each candidate against that language's dictionary, so English,
Ukrainian and Russian all work together.

Words that exist in both Ukrainian and Russian — там, добре — go to whichever language you prefer, and
if a later word makes the phrase clearly the other one, the app goes back and corrects itself.

FIX IT YOURSELF, TOO

Tap the trigger key — a double tap of Ctrl by default, or Pause/Break, F9 and others — to convert the
last word you typed. Select any text and tap it to convert the selection instead. Tap again with
nothing typed in between to step through the other layouts, and once more to get your original text
back. The trigger obeys you even where automatic fixing holds back.

Every fix shows a small chip under the corrected word, with a reminder of the undo key, so a change is
never silent.

WHERE IT STAYS OUT OF THE WAY

Password fields are excluded, including password boxes on web pages. Password managers and terminals
are excluded by default, and you can exclude any other app yourself. Individual words can be added to
a never-convert list — one click when a fix was wrong — or to an always-convert list.

Pause it for half an hour, an hour, or until you restart. Turn automatic fixing off and keep the manual
trigger. Let it remember a layout per application, so switching windows puts you back where you were.

PRIVATE BY DESIGN

Nothing you type is stored or transmitted. Keystrokes for the current word are held in memory and
discarded the moment the word ends. This Store version makes no network connections at all. Word
checking uses dictionaries built into the app. The whole source is public under the MIT licence.

BEFORE YOU START

Add both keyboard layouts in Windows first — English and Ukrainian or Russian — or there is nothing for
the app to switch between. Switcher3way lives in the notification area and has no main window; a short
welcome flow appears the first time you run it.

A physical keyboard is required: the app cannot see input from the on-screen touch keyboard.

The interface is available in 16 languages.","Набрали не в тій розкладці? Switcher3way це помітить і виправить. Наберіть ghbdsn — і це стане привіт, розкладка перемкнеться, а ви просто продовжите друкувати. Англійська, українська та російська — безкоштовно, без інтернету, з відкритим кодом.

Знайомий момент: пів речення вже набрано, і аж тоді ви розумієте, що розкладка була не та. Switcher3way прибирає цей момент.

Застосунок дивиться на слово, яке ви набираєте, і коли слово явно набране не в тій розкладці — перенабирає його правильно та перемикає розкладку. Це не вгадування на кожному слові: виправлення відбувається лише тоді, коли слово має сенс мовою іншої розкладки й не має сенсу поточною. Короткі уривки та неоднозначні залишки лишаються недоторканими, бо помилкове виправлення гірше за пропущене.

Три мови, а не дві. Більшість подібних програм перемикається між двома розкладками. Switcher3way читає всі розкладки, встановлені у Windows, і перевіряє кожен варіант словником відповідної мови — тому англійська, українська та російська працюють разом.

Слова, які існують і українською, і російською — там, добре — переходять у мову, яку ви обрали. А якщо наступне слово робить фразу однозначно іншою мовою, застосунок повертається й виправляє себе сам.

ВИПРАВЛЯЙТЕ Й САМОСТІЙНО

Натисніть клавішу-тригер — типово подвійний Ctrl, також доступні Pause/Break, F9 та інші — щоб конвертувати останнє набране слово. Виділіть будь-який текст, і тригер конвертує саме виділення.
Натисніть ще раз, нічого не набираючи між натисканнями, щоб перейти до наступної розкладки, і ще раз — щоб повернути початковий текст. Тригер слухається вас навіть там, де автоматичне виправлення стримується.

Кожне виправлення показує невелику підказку під словом із нагадуванням про клавішу скасування, тож зміна ніколи не буває непомітною.

ДЕ ЗАСТОСУНОК НЕ ВТРУЧАЄТЬСЯ

Поля паролів виключено, включно з полями паролів на вебсторінках. Менеджери паролів і термінали виключено типово, і ви можете виключити будь-який інший застосунок. Окремі слова можна додати до списку «ніколи не конвертувати» — одним клацанням, коли виправлення було зайвим — або до списку «конвертувати завжди».

Призупиніть роботу на півгодини, годину або до перезапуску. Вимкніть автоматичне виправлення й залиште лише ручний тригер. Дозвольте запам'ятовувати розкладку для кожного застосунку окремо, щоб перехід між вікнами повертав вас туди, де ви були.

ПРИВАТНІСТЬ ЗА ЗАМОВЧУВАННЯМ

Ніщо з набраного не зберігається й не передається. Натискання клавіш для поточного слова тримаються лише в пам'яті та видаляються, щойно слово завершене. Ця версія зі Store не робить жодних мережевих з'єднань. Перевірка слів використовує словники, вбудовані в застосунок. Увесь вихідний код відкритий за ліцензією MIT.

ПЕРЕД ПОЧАТКОМ

Спершу додайте у Windows обидві розкладки — англійську та українську чи російську — інакше застосунку не буде між чим перемикатися. Switcher3way живе в області повідомлень і не має головного вікна; під час першого запуску з'явиться короткий вступний покроковий екран.

Потрібна фізична клавіатура: застосунок не бачить введення з екранної клавіатури.

Інтерфейс доступний 16 мовами.","Набрали не в той раскладке? Switcher3way это заметит и исправит. Наберите ghbdsn — и это превратится в привіт, раскладка переключится, а вы просто продолжите писать. Английский, украинский и русский — бесплатно, без интернета, с открытым исходным кодом.

Знакомый момент: полфразы уже набрано, и только тогда вы понимаете, что раскладка была не та.
Switcher3way избавляет от этого момента.

Программа смотрит на слово, которое вы набираете, и когда слово явно набрано не в той раскладке, перенабирает его правильно и переключает раскладку. Это не угадывание на каждом слове: исправление происходит только если слово осмысленно на языке другой раскладки и бессмысленно на текущем. Короткие обрывки и неоднозначные остатки остаются нетронутыми, потому что неверное исправление хуже пропущенного.

Три языка, а не два. Большинство подобных программ переключается между двумя раскладками.
Switcher3way читает все раскладки, установленные в Windows, и проверяет каждый вариант словарём соответствующего языка — поэтому английский, украинский и русский работают вместе.

Слова, которые существуют и в украинском, и в русском — там, добре — переходят в тот язык, который вы предпочли. А если следующее слово делает фразу однозначно другой, программа возвращается и исправляет себя сама.

ИСПРАВЛЯЙТЕ И ВРУЧНУЮ

Нажмите клавишу-триггер — по умолчанию двойной Ctrl, также доступны Pause/Break, F9 и другие — чтобы преобразовать последнее набранное слово. Выделите любой текст, и триггер преобразует именно выделение.
Нажмите ещё раз, ничего не набирая между нажатиями, чтобы перейти к следующей раскладке, и ещё раз — чтобы вернуть исходный текст. Триггер слушается вас даже там, где автоматическое исправление воздерживается.

Каждое исправление показывает небольшую подсказку под словом с напоминанием о клавише отмены, так что изменение никогда не остаётся незамеченным.

ГДЕ ПРОГРАММА НЕ ВМЕШИВАЕТСЯ

Поля паролей исключены, включая поля паролей на веб-страницах. Менеджеры паролей и терминалы исключены по умолчанию, и вы можете исключить любое другое приложение. Отдельные слова можно добавить в список
«никогда не преобразовывать» — одним щелчком, когда исправление оказалось лишним — или в список «преобразовывать всегда».

Приостановите работу на полчаса, час или до перезапуска. Отключите автоматическое исправление и оставьте только ручной триггер. Разрешите запоминать раскладку для каждого приложения отдельно, чтобы переход между окнами возвращал вас туда, где вы были.

ПРИВАТНОСТЬ ПО УМОЛЧАНИЮ

Ничего из набранного не сохраняется и не передаётся. Нажатия клавиш для текущего слова хранятся только в памяти и отбрасываются, как только слово закончилось. Эта версия из Store не устанавливает никаких сетевых соединений. Проверка слов использует словари, встроенные в программу. Весь исходный код открыт по лицензии MIT.

ПЕРЕД НАЧАЛОМ

Сначала добавьте в Windows обе раскладки — английскую и украинскую или русскую — иначе программе не между чем переключаться. Switcher3way живёт в области уведомлений и не имеет главного окна; при первом запуске появится короткий вступительный экран.

Нужна физическая клавиатура: программа не видит ввод с экранной клавиатуры.

Интерфейс доступен на 16 языках.
",
ReleaseNotes,3,Text,,"Version 0.6.0

• Fixed: a spell checker that answers wrong is no longer believed. It goes through brief spells of rejecting real words, and the app was asking it twice about the same word — when the two answers disagreed, your conversion silently vanished. If you have ever typed a line, watched nothing happen and shrugged, this was often why.
• Fixed: six reasons wrong-layout words were being left alone, found by reading twelve days of real logs. Among them: short words were second-guessed too eagerly, meaningless tokens like ""10"" or ""."" were deciding the language of your sentence, and ""You're"", ""That's"" and ""Кто-то"" were skipped over an apostrophe or a hyphen.
• New: Bulgarian. Add the Bulgarian keyboard in Windows and it works like the others.
• A Russian word typed on the Ukrainian layout now switches the layout, without retyping your text.","Версія 0.6.0

• Виправлено: словнику, який відповідає хибно, більше не вірять беззастережно. Він час від часу ненадовго починає відкидати справжні слова, а застосунок запитував його про те саме слово двічі — і коли дві відповіді розходилися, ваша конвертація тихо зникала. Якщо ви колись набирали рядок, бачили, що нічого не сталося, і махали рукою — часто причина була саме ця.
• Виправлено: шість причин, чому слова, набрані не в тій розкладці, лишалися незмінними; знайдені під час читання дванадцяти днів реальних журналів. Серед них: короткі слова перевірялися надто прискіпливо, беззмістовні токени на кшталт «10» чи «.» визначали мову речення, а «You're», «That's» і «Кто-то» пропускалися через апостроф або дефіс.
• Нове: болгарська. Додайте болгарську клавіатуру у Windows — і вона працюватиме так само, як інші.
• Російське слово, набране українською розкладкою, тепер перемикає розкладку, не перенабираючи ваш текст.","Версия 0.5.0

• Новое: теперь конвертируются и слова, которых нет ни в одном словаре. Название или термин, набранные не в той раскладке, раньше так и оставались набором букв: «Kyiv», набранное с украинской раскладкой, выглядит как «Лншм», и ни один словарь не знает ни того, ни другого — поэтому ничего не происходило, и вы исправляли вручную.
• Теперь, когда слова не знает ни один словарь, приложение смотрит на его форму. Слово, набранное не в той раскладке, невозможно произнести на языке, на котором оно появилось, и при этом ровно один из вариантов имеет совершенно обычную для своего языка форму. Преобразование происходит только тогда, когда такую форму даёт ровно один язык.
• Все прежние предохранители сохраняются: намеренно набранные названия, camelCase, ЗАГЛАВНЫЕ, идентификаторы из кода и сокращения без гласных остаются как есть.",
Title,4,Text,,Switcher3Way,Switcher3Way,Switcher3Way,
ShortTitle,5,Text,,,,,
SortTitle,6,Text,,,,,
VoiceTitle,7,Text,,,,,
ShortDescription,8,Text,,,,,
DevStudio,9,Text,,IronMade,IronMade,IronMade,
CopyrightTrademarkInformation,12,Text,,"© 2026 IronMade. MIT License. A fork of RuSwitcher, © 2025 Rashns. Bundled Hunspell dictionaries: en/ru BSD, uk MPL 1.1. Full notices ship with the app.","© 2026 IronMade. Ліцензія MIT. Форк RuSwitcher, © 2025 Rashns. Вбудовані словники Hunspell: en/ru BSD, uk MPL 1.1. Повні тексти постачаються із застосунком.","© 2026 IronMade. Лицензия MIT. Форк RuSwitcher, © 2025 Rashns. Встроенные словари Hunspell: en/ru BSD, uk MPL 1.1. Полные тексты поставляются с программой.",
AdditionalLicenseTerms,13,Text,,,,,
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566588/listingassets/3028089770564672566,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566590/listingassets/3050723826662830255,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566592/listingassets/3065377674610953135,
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566588/listingassets/3069030699445577600,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566590/listingassets/3005238284131224810,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566592/listingassets/3012339943934759037,
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566588/listingassets/3028493107046277255,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566590/listingassets/3002526182196033900,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566592/listingassets/3020015898729766828,
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566588/listingassets/3067229337593597386,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566590/listingassets/3067045999303826015,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566592/listingassets/3000724691742693158,
DesktopScreenshot5,104,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566588/listingassets/3066964640777926170,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566590/listingassets/3067015153601843310,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566592/listingassets/3057358706634229457,
DesktopScreenshot6,105,Relative path (or URL to file in Partner Center),,,https://developer.microsoft.com/en-us/dashboard/apps/9MXFXL7GG3C5/submissions/1152921505701853573/listings/1152922700026566590/listingassets/3053994336736649212,,
DesktopScreenshot7,106,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot8,107,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot9,108,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot10,109,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot11,110,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot12,111,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot13,112,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot14,113,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot15,114,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot16,115,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot17,116,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot18,117,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot19,118,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot20,119,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot21,120,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot22,121,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot23,122,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot24,123,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot25,124,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot26,125,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot27,126,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot28,127,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot29,128,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshot30,129,Relative path (or URL to file in Partner Center),,,,,
DesktopScreenshotCaption1,150,Text,,"Type a word in the wrong layout and keep going. Switcher3way rewrites it and switches the layout, showing what changed and how to undo it.","Наберіть слово не в тій розкладці й продовжуйте. Switcher3way перепише його та перемкне розкладку, показавши, що змінилось і як це скасувати.","Наберите слово не в той раскладке и продолжайте. Switcher3way перепишет его и переключит раскладку, показав, что изменилось и как это отменить.",
DesktopScreenshotCaption2,151,Text,," Everything from the notification area: current layout, master switch, Auto-fix, and pause for half an hour, an hour or until restart",Нічого не треба налаштовувати: Switcher3way читає всі встановлені у Windows розкладки й перевіряє кожну словником її мови.,"Всё из области уведомлений: текущая раскладка, главный выключатель, автоисправление и пауза на полчаса, час или до перезапуска.",
DesktopScreenshotCaption3,152,Text,,Pick the trigger that suits your keyboard. Tap it to convert the last word or a selection; tap again to cycle layouts or undo.,"Усе з області повідомлень: поточна розкладка, головний вимикач, автовиправлення та пауза на півгодини, годину чи до перезапуску.","Выберите триггер под свою клавиатуру. Нажмите, чтобы преобразовать последнее слово или выделение; ещё раз — чтобы перебрать раскладки или отменить.",
